,name,Type_x,Class,(A)chondrite,Group_x,Petrologic type,Type_y,Group_y,mass (g),Year,Month,Day,Hour,Locality,Country,continent,latitude,longitude
112,Castalia,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,7300.0,1874,May,14,1430,North Carolina,USA,North America,36.0833,-78.0667
113,Castine,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,94.0,1848,May,20,400,Maine,USA,North America,44.3833,-68.75
114,Ceniceros,Stone,Ordinary,Chondrite,H,3,Chondrite,L3.7,1025.0,1988,August,20,1020,Chihuahua,Mexico,North America,26.4667,-105.2333
115,Centerville,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,45.6,1956,February,29,,South Dakota,USA,North America,43.2,-96.9167
116,Cereseto,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,6460.0,1840,July,17,730,Piemonte,Italy,Europe,45.0833,8.3
117,Chadong,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,3700.0,1998,September,17,1900 (local time),Hunan Province,China,Asia,28.5333,109.3167
118,Chainpur,Stone,Ordinary,Chondrite,LL,3,Chondrite,LL3.4,8200.0,1907,May,9,1330,Uttar Pradesh,India,Asia,25.85,83.4833
119,Chajari,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,18300.0,1933,November,29,1300,Entre Rios,Argentina,South America,-30.7833,-58.05
120,Chandakapur,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,8800.0,1838,June,6,1200,Maharashtra,India,Asia,20.2667,76.0167
121,Chandpur,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1100.0,1885,April,6,evening,Uttar Pradesh,India,Asia,27.2833,79.05
122,Changde,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1810.0,1977,March,11,1154,Hunan,China,Asia,29.0833,111.75
123,Charlotte,Iron,Fine octahedrite,,IVA,Of,Achondrite,"Iron, IVA",4300.0,1835,July,31,1400-1500,Tennessee,USA,North America,36.1667,-87.3333
