,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
13448,Meester-Cornelis,39923,M1560,Stone,Ordinary,Chondrite,H,5,24.75 kg,1915,June,2,0600-0615,Java,Indonesia,-6.2333,106.8833,6° 14' S,106° 53' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1560%7CscientificName%3AMeester-Cornelis
13463,Menow,39938,M1690,Stone,Ordinary,Chondrite,H,4,10.5 kg,1862,October,7,1230,Brandenburg,Germany,53.1833,13.15,53° 11' N,13° 9' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1690%7CscientificName%3AMenow
13464,Menziswyl,39939,M1695,Stone,Ordinary,Chondrite,L,5,28.9 g,1903,July,,,Fribourg,Switzerland,46.8186,7.2181,46° 49' 07'' N,7° 13' 5'' E,,
13541,Mern,40016,M1720,Stone,Ordinary,Chondrite,L,6,4 kg,1878,August,29,1430,Sorestrøm,Denmark,55.05,12.0667,55° 3' N,12° 4' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1720%7CscientificName%3AMern
13543,Meru,40018,M1740,Stone,Ordinary,Chondrite,LL,6,5.9 kg,1945,February,2,1700,,Kenya,0.0,37.6667,0° 0' N,37° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1740%7CscientificName%3AMeru
13544,Madiun,40019,M175,Stone,Ordinary,Chondrite,L,6,400 g,1935,June,20,,Java,Indonesia,-7.75,111.5333,7° 45' S,111° 32' E,,
13545,Merua,40020,M1750,Stone,Ordinary,Chondrite,H,5,71.4 kg,1920,August,30,1115,Uttar Pradesh,India,25.4833,81.9833,25° 29' N,81° 59' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1750%7CscientificName%3AMerua
13576,Messina,40051,M1780,Stone,Ordinary,Chondrite,L,5,2405 g,1955,July,16,1307,Sicily,Italy,38.1833,15.5667,38° 11' N,15° 34' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1780%7CscientificName%3AMessina
13617,Meuselbach,40092,M1830,Stone,Ordinary,Chondrite,L,6,870 g,1897,May,19,1945,Thuringen,Germany,50.5833,11.1,50° 35' N,11° 6' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1830%7CscientificName%3AMeuselbach
13618,Mezel,40093,M1850,Stone,Ordinary,Chondrite,L,6,1.3 kg,1949,January,25,1956,Puy de Dome,France,45.7667,3.25,45° 46' N,3° 15' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1850%7CscientificName%3AMezel
13619,Mezö-Madaras,40094,M1870,Stone,Ordinary,Chondrite,L,3,22.7 kg,1852,September,4,1630,Harghita,Romania,46.5,25.7333,46° 30' N,25° 44' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1870%7CscientificName%3AMez%C3%B6-Madaras
13620,Madrid,40095,M190,Stone,Ordinary,Chondrite,L,6,400 g,1896,February,10,930,,Spain,40.4167,-3.7167,40° 25' N,3° 43' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM190%7CscientificName%3AMadrid
13623,Mianchi,40098,M1912,Stone,Ordinary,Chondrite,H,5,1.1 kg,1980,September,4,1100,Henan,China,34.8,111.7,34° 48' N,111° 42' E,,
13624,Middlesbrough,40099,M1930,Stone,Ordinary,Chondrite,L,6,1.59 kg,1881,March,14,1535,Yorkshire,England,54.5667,-1.1667,54° 34' N,1° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1930%7CscientificName%3AMiddlesbrough
13626,Mighei,40101,M1970,Stone,Carbonaceous,Chondrite,CM,2,8 kg,1889,June,18,830,Mykolaïv Province,Ukraine,48.0667,30.9667,48° 4' N,30° 58' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1970%7CscientificName%3AMighei
13627,Mihonoseki,40102,M1995,Stone,Ordinary,Chondrite,L,6,6.38 kg,1992,December,10,21:00 (local),Honshu,Japan,35.5683,133.22,35° 34' 06'' N,133° 13' 12'' E,,
13628,Mabwe-Khoywa,40103,M20,Stone,Ordinary,Chondrite,L,5,,1937,September,17,2245,Kayah,Burma,19.0,97.0,19° N,97° E,,
13629,Mike,40104,M2000,Stone,Ordinary,Chondrite,L,6,224.2 g,1944,May,3,1900,,Hungary,46.2333,17.5333,46° 14' N,17° 32' E,,
13633,Milena,40108,M2100,Stone,Ordinary,Chondrite,L,6,5 kg,1842,April,26,1500,,Croatia,46.1833,16.1,46° 11' N,16° 6' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2100%7CscientificName%3AMilena
13636,Millbillillie,40111,M2130,Stone,Eucrite,Achondrite,EUC,,25.4 kg,1960,October,,,Western Australia,Australia,-26.45,120.3667,26° 27' S,120° 22' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2130%7CscientificName%3AMillbillillie
13638,Miller (Arkansas),40113,M2140,Stone,Ordinary,Chondrite,H,5,16.7 kg,1930,July,13,,Arkansas,USA,35.4,-92.05,35° 24' N,92° 3' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2140%7CscientificName%3AMiller%20%28Arkansas%29
13682,Min-Fan-Zhun,40157,M2250,Stone,Ordinary,Chondrite,LL,6,5 kg,1952,April,1,,Jiangsu,China,32.3333,120.6667,32° 20' N,120° 40' E,,
13685,Minnichhof,40160,M2280,Stone,,Chondrite,,,,1905,May,27,1045,,Austria,47.7,16.6,47° 42' N,16° 36' E,,
13686,Mafra,40161,M230,Stone,Ordinary,Chondrite,L,3-4,600 g,1941,,,,Santa Catarina,Brazil,-26.1667,-49.9333,26° 10' S,49° 56' W,,
13687,Mirzapur,40162,M2320,Stone,Ordinary,Chondrite,L,5,8508.5 g,1910,January,7,1130,Uttar Pradesh,India,25.6833,83.25,25° 41' N,83° 15' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2320%7CscientificName%3AMirzapur
13689,Misshof,40164,M2350,Stone,Ordinary,Chondrite,H,5,5.8 kg,1890,April,10,1530,Dobeles,Latvia,56.6667,23.0,56° 40' N,23° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2350%7CscientificName%3AMisshof
13693,Mjelleim,40168,M2430,Stone,Ordinary,Chondrite,H,,100.7 g,1898,January,24,1400-1500,Nordfjord,Norway,61.7333,5.9333,61° 44' N,5° 56' E,,
