,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
13282,Los Martinez,39757,L1970,Stone,Ordinary,Chondrite,L,6,25 g,1894,May,,,,Spain,37.7833,-1.7833,37° 47' N,1° 47' W,,
13285,La Bécasse,39760,L20,Stone,Ordinary,Chondrite,L,6,2.8 kg,1879,January,31,1230,Indre,France,47.0833,1.75,47° 5' N,1° 45' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL20%7CscientificName%3ALa%20B%C3%A9casse
13287,Lost City,39762,L2000,Stone,Ordinary,Chondrite,H,5,17 kg,1970,January,3,2014,Oklahoma,USA,36.0083,-95.15,36° 0.5' N,95° 9' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL2000%7CscientificName%3ALost%20City
13292,Louisville,39767,L2054,Stone,Ordinary,Chondrite,L,6,1.3 kg,1977,January,31,1530,Kentucky,USA,38.25,-85.75,38° 15' N,85° 45' W,,
13294,Lowicz,39769,L2100,Stony-iron,Mesosiderite,,MES,,59 kg,1935,March,12,52,,Poland,52.0,19.9167,52° 0' N,19° 55' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL2100%7CscientificName%3ALowicz
13297,Lua,39772,L2130,Stone,Ordinary,Chondrite,L,5,9241 g,1926,June,26,1600,Rajasthan,India,24.95,75.15,24° 57' N,75° 9' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL2130%7CscientificName%3ALua
13318,Lakangaon,39793,L220,Stone,Eucrite,Achondrite,EUC,,212.5 g,1910,November,24,1800,Madhya Pradesh,India,21.8667,76.0333,21° 52' N,76° 2' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL220%7CscientificName%3ALakangaon
13323,Lumpkin,39798,L2240,Stone,Ordinary,Chondrite,H,6,0.3 kg,1869,October,6,1145,Georgia,USA,32.0333,-84.7667,32° 2' N,84° 46' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL2240%7CscientificName%3ALumpkin
13324,Lunan,39799,L2245,Stone,Ordinary,Chondrite,H,6,2.52 kg,1980,April,4,1700,Yunan,China,24.8,103.3,24° 48' N,103° 18' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL2245%7CscientificName%3ALunan
13325,Lundsgård,39800,L2270,Stone,Ordinary,Chondrite,L,6,11 kg,1889,April,3,2030,Skåne,Sweden,56.2167,13.0333,56° 13' N,13° 2' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL2270%7CscientificName%3ALundsg%C3%A5rd
13330,Lusaka,39805,L2310,,,,,,,1951,April,,,,Congo,-7.2167,29.4333,7° 13' S,29° 26' E,,
13350,Lalitpur,39825,L340,Stone,Ordinary,Chondrite,L,6,372 g,1887,April,7,1030,Uttar Pradesh,India,24.45,78.5667,24° 27' N,78° 34' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL340%7CscientificName%3ALalitpur
13354,Lancé,39829,L380,Stone,Carbonaceous,Chondrite,CO,3,51.7 kg,1872,July,23,1720,Loir-et-Cher,France,47.7,1.0667,47° 42' N,1° 4' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL380%7CscientificName%3ALanc%C3%A9
13355,Lancon,39830,L390,Stone,Ordinary,Chondrite,H,6,7 kg,1897,June,20,2030,Bouches du Rhone,France,43.75,5.1167,43° 45' N,5° 7' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL390%7CscientificName%3ALancon
13356,Laborel,39831,L40,Stone,Ordinary,Chondrite,H,5,2.091 kg,1871,June,14,2000,Drome,France,44.2833,5.5833,44° 17' N,5° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL40%7CscientificName%3ALaborel
13361,Långhalsen,39836,L460,Stone,Ordinary,Chondrite,L,6,2.3 kg,1947,February,6,1515,Södermanland,Sweden,58.85,16.7333,58° 51' N,16° 44' E,,
13364,Lanxi,39839,L495,Stone,Ordinary,Chondrite,L,6,1282 g,1986,June,10,1000,Heilongjiang,China,46.2417,126.1961,46° 14' 30'' N,126° 11' 46'' E,,
13366,Lanzenkirchen,39841,L500,Stone,Ordinary,Chondrite,L,4,7 kg,1925,August,28,1925,Nieder Osterreich,Austria,47.75,16.2333,47° 45' N,16° 14' E,,
