,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,country code,area(sq Km),marker_color
227,Dresden (Ontario),7731,Chondrite,H6,47700.0,1939.0,42.52,-82.26,Canada,North America,CAN,8965590.0,orange
228,Dubrovnik,7736,Chondrite,L3-6,1900.0,1951.0,42.45833,18.44167,Croatia,Europe,HRV,55964.0,orange
229,Dunbogan,7743,Chondrite,L6,30.0,1999.0,-31.66667,152.83333,Australia,Oceania,AUS,7682300.0,orange
230,Dundrum,7745,Chondrite,H5,2270.0,1865.0,52.55,-8.03333,Ireland,Europe,IRL,68890.0,orange
231,Dunhua,7749,Unclassified,Stone-uncl,,1976.0,43.33333,128.25,China,Asia,CHN,9424700.7,darkred
232,Duruma,7752,Chondrite,L6,577.0,1853.0,-4.0,39.5,Kenya,Africa,KEN,569140.0,orange
233,Duwun,7754,Chondrite,L6,2117.0,1943.0,33.43333,127.26667,Antarctica,Antarctica,,,orange
234,Dwaleni,7755,Chondrite,H4-6,3230.0,1970.0,-27.2,31.31667,Eswatini,Africa,SWZ,17200.0,orange
235,Dyalpur,7757,Primitive Achondrite,Ureilite,300.0,1872.0,26.25,82.0,India,Asia,IND,2973190.0,blue
236,Dyarrl Island,7758,Achondrite,Mesosiderite-A1,188.0,1933.0,-3.0,151.0,Papua New Guinea,Oceania,PNG,452860.0,gray
237,Eagle,7760,Chondrite,EL6,10000.0,1947.0,40.78167,-96.47167,United States,North America,USA,9147420.0,orange
238,Ehole,7774,Chondrite,H5,2400.0,1961.0,-17.3,15.83333,Angola,Africa,AGO,1246700.0,orange
239,Ekeby,7776,Chondrite,H4,3336.0,1939.0,56.03333,13.0,Sweden,Europe,SWE,407339.7,orange
240,Ekh Khera,7777,Chondrite,H6,840.0,1916.0,28.26667,78.78333,India,Asia,IND,2973190.0,orange
241,El Idrissia,7807,Chondrite,L6,10000.0,1989.0,34.41667,3.25,Algeria,Africa,DZA,2381740.0,orange
242,El Paso de Aguila,45977,Chondrite,H5,17226.0,1977.0,25.37,-97.37,Mexico,North America,MEX,1943950.0,orange
243,El Tigre,7819,Chondrite,L6,5000.0,1993.0,19.96722,-103.05167,Mexico,North America,MEX,1943950.0,orange
244,Elbert,7822,Chondrite,LL6,680.5,1998.0,39.24667,-104.58817,United States,North America,USA,9147420.0,orange
245,Elenovka,7824,Chondrite,L5,54640.0,1951.0,47.83333,37.66667,Ukraine,Europe,UKR,579320.0,orange
246,Ellemeet,10019,Achondrite,Diogenite,1470.0,1925.0,51.75,4.0,Netherlands,Europe,NLD,33730.0,gray
247,Emmaville,10033,Achondrite,Eucrite-mmict,127.0,1900.0,-29.46667,151.61667,Australia,Oceania,AUS,7682300.0,gray
248,Enshi,10038,Chondrite,H5,8000.0,1974.0,30.3,109.5,China,Asia,CHN,9424700.7,orange
249,Erakot,10042,Chondrite,CM2,113.0,1940.0,19.03333,81.89167,India,Asia,IND,2973190.0,orange
250,Erevan,10043,Achondrite,Howardite,107.2,1911.0,40.3,44.5,Armenia,Asia,ARM,28470.0,gray
251,Ergheo,10044,Chondrite,L5,20000.0,1889.0,1.16667,44.16667,Somalia,Africa,SOM,627340.0,orange
252,Esnandes,10051,Chondrite,L6,1500.0,1837.0,46.25,-1.1,France,Europe,FRA,547557.0,orange
253,Essebi,10055,Chondrite,C2-ung,500.0,1957.0,2.88333,30.83333,"Congo, The Democratic Republic of the",Africa,,,orange
254,Estherville,10059,Achondrite,Mesosiderite-A3/4,320000.0,1879.0,43.41667,-94.83333,United States,North America,USA,9147420.0,gray
255,Farmington,10074,Chondrite,L5,89400.0,1890.0,39.75,-97.03333,United States,North America,USA,9147420.0,orange
256,Farmville,10075,Chondrite,H4,56000.0,1934.0,35.55,-77.53333,United States,North America,USA,9147420.0,orange
257,Favars,10078,Chondrite,H5,1500.0,1844.0,44.38333,2.81667,France,Europe,FRA,547557.0,orange
258,Fayetteville,10079,Chondrite,H4,2360.0,1934.0,36.05,-94.16667,United States,North America,USA,9147420.0,orange
259,Feid Chair,10080,Chondrite,H4,380.0,1875.0,36.88333,8.45,Algeria,Africa,DZA,2381740.0,orange
260,Felix,10081,Chondrite,CO3.3,3200.0,1900.0,32.53333,-87.16667,United States,North America,USA,9147420.0,orange
261,Fenghsien-Ku,10086,Chondrite,H5,82.0,1924.0,34.6,116.75,China,Asia,CHN,9424700.7,orange
262,Ferguson,10088,Chondrite,OC,220.0,1889.0,36.1,-81.41667,United States,North America,USA,9147420.0,orange
263,Fermo,10091,Chondrite,H3-5,10200.0,1996.0,43.18111,13.75333,Italy,Europe,ITA,295718.0,orange
264,Fisher,10107,Chondrite,L6,17600.0,1894.0,47.81667,-96.85,United States,North America,USA,9147420.0,orange
265,Florence,10111,Chondrite,H3,3640.0,1922.0,30.83333,-97.76667,United States,North America,USA,9147420.0,orange
266,Forest City,10119,Chondrite,H5,152000.0,1890.0,43.25,-93.66667,United States,North America,USA,9147420.0,orange
267,Forest Vale,10120,Chondrite,H4,26000.0,1942.0,-33.35,146.85833,Australia,Oceania,AUS,7682300.0,orange
268,Forksville,10123,Chondrite,L6,6067.0,1924.0,36.78333,-78.08333,United States,North America,USA,9147420.0,orange
269,Forsbach,10163,Chondrite,H6,240.0,1900.0,50.95,7.31667,Germany,Europe,DEU,348570.0,orange
270,Fort Flatters,10166,Unclassified,Stone-uncl,,1944.0,28.25,7.0,Algeria,Africa,DZA,2381740.0,darkred
271,Frankfort (stone),10177,Achondrite,Howardite,650.0,1868.0,34.48333,-87.83333,United States,North America,USA,9147420.0,gray
272,Fuhe,52412,Chondrite,L5,23000.0,1945.0,31.47556,113.56694,China,Asia,CHN,9424700.7,orange
273,Fukutomi,10836,Chondrite,L5,11620.0,1882.0,33.18333,130.2,Japan,Asia,JPN,364500.0,orange
274,Fuyang,10840,Unclassified,Stone-uncl,2500.0,1977.0,32.9,115.9,China,Asia,CHN,9424700.7,darkred
275,Galim (a),10848,Chondrite,LL6,36.1,1952.0,7.05,12.43333,Cameroon,Africa,CMR,472710.0,orange
276,Galim (b),10849,Chondrite,EH3/4-an,28.0,1952.0,7.05,12.43333,Cameroon,Africa,CMR,472710.0,orange
277,Galkiv,10850,Chondrite,H4,5000.0,1995.0,51.68333,30.78333,Ukraine,Europe,UKR,579320.0,orange
278,Gambat,10851,Chondrite,L6,6400.0,1897.0,27.35,68.53333,Pakistan,Asia,PAK,770880.0,orange
279,Gao-Guenie,10854,Chondrite,H5,3600.0,1960.0,11.65,-2.18333,Burkina Faso,Africa,BFA,273600.0,orange
280,Garhi Yasin,10860,Achondrite,"Iron, IIE",380.0,1917.0,27.88333,68.53333,Pakistan,Asia,PAK,770880.0,gray
281,Garland,10861,Achondrite,Diogenite-pm,102.0,1950.0,41.68333,-112.13333,United States,North America,USA,9147420.0,gray
282,Gashua,44882,Chondrite,L6,4162.0,1984.0,12.85,11.03333,Nigeria,Africa,NGA,910770.0,orange
283,Gasseltepaoua,10866,Chondrite,H5,16.7,2000.0,14.15083,-2.04167,Burkina Faso,Africa,BFA,273600.0,orange
284,Geidam,10870,Chondrite,H5,725.0,1950.0,12.91667,11.91667,Nigeria,Africa,NGA,910770.0,orange
285,Gifu,10914,Chondrite,L6,14290.0,1909.0,35.53333,136.88333,Japan,Asia,JPN,364500.0,orange
286,Girgenti,10917,Chondrite,L6,18000.0,1853.0,37.31667,13.56667,Italy,Europe,ITA,295718.0,orange
287,Git-Git,10919,Chondrite,L6,480.0,1947.0,9.6,9.91667,Nigeria,Africa,NGA,910770.0,orange
288,Glanerbrug,10923,Chondrite,L/LL5,670.0,1990.0,52.2,6.86667,Netherlands,Europe,NLD,33730.0,orange
289,Glanggang,10924,Chondrite,H5-6,1303.0,1939.0,-7.25,107.7,Indonesia,Asia,IDN,1877519.0,orange
290,Glasatovo,10926,Chondrite,H4,152000.0,1918.0,57.35,37.61667,Russian Federation,Europe,RUS,16376870.0,orange
291,Glatton,10930,Chondrite,L6,767.0,1991.0,52.45972,-0.3,United Kingdom,Europe,GBR,241930.0,orange
292,Gnadenfrei,10936,Chondrite,H5,1750.0,1879.0,50.66667,16.76667,Poland,Europe,POL,306280.0,orange
293,Gopalpur,10948,Chondrite,H6,1600.0,1865.0,24.23333,89.05,Bangladesh,Asia,BGD,130170.0,orange
294,Gorlovka,10949,Chondrite,H3.7,3618.0,1974.0,48.28333,38.08333,Ukraine,Europe,UKR,579320.0,orange
295,Granes,10956,Chondrite,L6,9000.0,1964.0,42.9,2.25,France,Europe,FRA,547557.0,orange
296,Grefsheim,11196,Chondrite,L5,45.5,1976.0,60.66667,11.0,Norway,Europe,NOR,365244.0,orange
297,Grimsby,50911,Chondrite,H5,215.0,2009.0,43.2,-79.61667,Canada,North America,CAN,8965590.0,orange
298,Grosnaja,11206,Chondrite,CV3,3500.0,1861.0,43.66667,45.38333,Russian Federation,Europe,RUS,16376870.0,orange
299,Gross-Divina,11207,Chondrite,H5,10500.0,1837.0,49.26667,18.71667,Slovakia,Europe,,,orange
300,Grossliebenthal,11208,Chondrite,L6,8000.0,1881.0,46.35,30.58333,Ukraine,Europe,UKR,579320.0,orange
301,Grüneberg,11426,Chondrite,H4,1000.0,1841.0,51.93333,15.5,Poland,Europe,POL,306280.0,orange
302,Grzempach,11429,Chondrite,H5,690.0,1910.0,52.86667,16.63333,Poland,Europe,POL,306280.0,orange
303,Gualeguaychú,11432,Chondrite,H6,22000.0,1932.0,-33.0,-58.61667,Argentina,South America,ARG,2736690.0,orange
304,Guangmingshan,11435,Chondrite,H5,2910.0,1996.0,39.80417,122.76389,China,Asia,CHN,9424700.7,orange
305,Guangnan,11436,Chondrite,L6,,1983.0,24.1,105.0,China,Asia,CHN,9424700.7,orange
306,Guangrao,11437,Chondrite,L6,1900.0,1980.0,37.1,118.4,China,Asia,CHN,9424700.7,orange
307,Guareña,11439,Chondrite,H6,39000.0,1892.0,38.73333,-6.01667,Spain,Europe,ESP,500010.0,orange
308,Guêa,11440,Unclassified,Stone-uncl,1915.0,1891.0,43.76667,20.23333,Serbia,Europe,SRB,87460.0,darkred
309,Guibga,11442,Chondrite,L5,288.0,1972.0,13.5,-0.68333,Burkina Faso,Africa,BFA,273600.0,orange
310,Guidder,11443,Chondrite,LL5,968.0,1949.0,9.91667,13.98333,Cameroon,Africa,CMR,472710.0,orange
311,Gujargaon,11448,Chondrite,H5,2449.0,1982.0,22.98333,76.05,India,Asia,IND,2973190.0,orange
312,Gujba,11449,Chondrite,CBa,100000.0,1984.0,11.49167,11.65833,Nigeria,Africa,NGA,910770.0,orange
313,Gumoschnik,11450,Chondrite,H5,5700.0,1904.0,42.9,24.7,Bulgaria,Europe,BGR,108560.0,orange
314,Gursum,11465,Chondrite,H4/5,34650.0,1981.0,9.36667,42.41667,Ethiopia,Africa,ETH,1128570.952,orange
315,Gütersloh,11466,Chondrite,H3/4,1000.0,1851.0,51.91667,8.38333,Germany,Europe,DEU,348570.0,orange
316,Gyokukei,11467,Chondrite,OC,1320.0,1930.0,35.0,127.5,"Korea, Republic of",Asia,,,orange
317,Hainaut,11472,Chondrite,H3-6,9000.0,1934.0,50.31667,3.73333,France,Europe,FRA,547557.0,orange
318,Hallingeberg,11479,Chondrite,L3.4,1456.0,1944.0,57.81667,16.23333,Sweden,Europe,SWE,407339.7,orange
319,Hamlet,11485,Chondrite,LL4,3710.0,1959.0,41.38333,-86.6,United States,North America,USA,9147420.0,orange
320,Haraiya,11824,Achondrite,Eucrite-mmict,1000.0,1878.0,26.8,82.53333,India,Asia,IND,2973190.0,gray
321,Haripura,11829,Chondrite,CM2,315.0,1921.0,28.38333,75.78333,India,Asia,IND,2973190.0,orange
322,Harleton,11830,Chondrite,L6,8360.0,1961.0,32.675,-94.51167,United States,North America,USA,9147420.0,orange
323,Harrison County,11842,Chondrite,L6,680.0,1859.0,38.25,-86.16667,United States,North America,USA,9147420.0,orange
324,Hashima,11848,Chondrite,H4,1110.6,1910.0,35.2945,136.70033,Japan,Asia,JPN,364500.0,orange
325,Hassi-Jekna,11852,Primitive Achondrite,"Iron, IAB-sHL",1250.0,1890.0,28.95,0.81667,Algeria,Africa,DZA,2381740.0,blue
326,Haverö,11859,Primitive Achondrite,Ureilite,1544.0,1971.0,60.24556,22.06194,Finland,Europe,FIN,303900.0,blue
327,Hedeskoga,11869,Chondrite,H5,3500.0,1922.0,55.46667,13.78333,Sweden,Europe,SWE,407339.7,orange
328,Hedjaz,11870,Chondrite,L3.7-6,6100.0,1910.0,27.33333,35.66667,Saudi Arabia,Asia,SAU,2149690.0,orange
329,Heredia,11875,Chondrite,H5,1000.0,1857.0,10.0,-84.1,Costa Rica,North America,CRI,51060.0,orange
330,Hessle,11878,Chondrite,H5,20000.0,1869.0,59.85,17.66667,Sweden,Europe,SWE,407339.7,orange
331,Higashi-koen,11883,Chondrite,H5,750.0,1897.0,33.6,130.43333,Japan,Asia,JPN,364500.0,orange
332,Hiroshima,11889,Chondrite,H5,414.0,2003.0,34.45,132.38333,Japan,Asia,JPN,364500.0,orange
333,Hoima,44714,Chondrite,H6,167.7,2003.0,1.345,31.47278,Uganda,Africa,UGA,200520.0,orange
334,Hökmark,11893,Chondrite,L4,305.5,1954.0,64.43333,21.2,Sweden,Europe,SWE,407339.7,orange
335,Holbrook,11894,Chondrite,L/LL6,220000.0,1912.0,34.9,-110.18333,United States,North America,USA,9147420.0,orange
336,Holetta,11895,Unclassified,Stone-uncl,1415.0,1923.0,9.06667,38.41667,Ethiopia,Africa,ETH,1128570.952,darkred
337,Homestead,11901,Chondrite,L5,230000.0,1875.0,41.8,-91.86667,United States,North America,USA,9147420.0,orange
338,Hotse,11913,Chondrite,L6,180.0,1956.0,35.66667,115.5,China,Asia,CHN,9424700.7,orange
339,Hoxie,11915,Chondrite,OC,266.1,1963.0,39.35,-100.45,United States,North America,USA,9147420.0,orange
340,Huaxi,54719,Chondrite,H5,1600.0,2010.0,26.46469,106.63241,China,Asia,CHN,9424700.7,orange
341,Hungen,11986,Chondrite,H6,112.0,1877.0,50.3,8.91667,Germany,Europe,DEU,348570.0,orange
342,Hvittis,11989,Chondrite,EL6,14000.0,1901.0,61.18333,22.68333,Finland,Europe,FIN,303900.0,orange
343,Ibbenbüren,11992,Achondrite,Diogenite,2000.0,1870.0,52.28333,7.7,Germany,Europe,DEU,348570.0,gray
344,Ibitira,11993,Achondrite,Eucrite-mmict,2500.0,1957.0,-20.0,-45.0,Brazil,South America,BRA,8358140.0,gray
345,Ibrisim,11994,Chondrite,OC,,1949.0,38.0,35.0,Turkey,Asia,,,orange
346,Ichkala,11995,Chondrite,H6,3973.0,1936.0,58.2,82.93333,Russian Federation,Europe,RUS,16376870.0,orange
347,Idutywa,12000,Chondrite,H5,3457.0,1956.0,-32.1,28.33333,South Africa,Africa,ZAF,1213090.0,orange
348,Iguaracu,12003,Chondrite,H5,1200.0,1977.0,-23.2,-51.83333,Brazil,South America,BRA,8358140.0,orange
349,Ijopega,12004,Chondrite,H6,7330.0,1975.0,-6.03333,145.36667,Papua New Guinea,Oceania,PNG,452860.0,orange
350,Indarch,12027,Chondrite,EH4,27000.0,1891.0,39.75,46.66667,Azerbaijan,Asia,AZE,82656.0,orange
351,Independence,12028,Chondrite,L6,880.0,1917.0,39.08333,-94.4,United States,North America,USA,9147420.0,orange
352,Inner Mongolia,12037,Chondrite,L6,3000.0,1963.0,41.0,112.0,China,Asia,CHN,9424700.7,orange
353,Innisfree,12039,Chondrite,L5,4576.0,1977.0,53.415,-111.3375,Canada,North America,CAN,8965590.0,orange
354,Ipiranga,12043,Chondrite,H6,7000.0,1972.0,-25.5,-54.5,Brazil,South America,BRA,8358140.0,orange
355,Ishinga,12049,Chondrite,H,1300.0,1954.0,-8.93333,33.8,"Tanzania, United Republic of",Africa,,,orange
356,Isthilart,12053,Chondrite,H5,3050.0,1928.0,-31.18333,-57.95,Argentina,South America,ARG,2736690.0,orange
357,Itapicuru-Mirim,12056,Chondrite,H5,2024.0,1879.0,-3.4,-44.33333,Brazil,South America,BRA,8358140.0,orange
358,Itqiy,12058,Chondrite,EH7-an,4720.0,1990.0,26.59083,-12.95217,Morocco,Africa,MAR,446300.0,orange
359,Ivuna,12063,Chondrite,CI1,704.5,1938.0,-8.41667,32.43333,"Tanzania, United Republic of",Africa,,,orange
360,Jackalsfontein,12065,Chondrite,L6,48000.0,1903.0,-32.5,21.9,South Africa,Africa,ZAF,1213090.0,orange
361,Jajh deh Kot Lalu,12067,Chondrite,EL6,973.0,1926.0,26.75,68.41667,Pakistan,Asia,PAK,770880.0,orange
362,Jalanash,12068,Primitive Achondrite,Ureilite,700.0,1990.0,48.3,89.5,Mongolia,Asia,MNG,1557292.418,blue
363,Jamkheir,12072,Chondrite,H6,22.0,1866.0,18.75,75.33333,India,Asia,IND,2973190.0,orange
364,Jartai,12074,Chondrite,L6,20500.0,1979.0,39.7,105.8,China,Asia,CHN,9424700.7,orange
365,Jelica,12078,Chondrite,LL6,34000.0,1889.0,43.83333,20.44167,Serbia,Europe,SRB,87460.0,orange
366,Jemlapur,12079,Chondrite,L6,450.0,1901.0,25.3,86.5,India,Asia,IND,2973190.0,orange
367,Jesenice,51589,Chondrite,L6,3667.0,2009.0,46.42137,14.05217,Slovenia,Europe,SVN,20146.2,orange
368,Jhung,12085,Chondrite,L5,5900.0,1873.0,31.3,72.38333,Pakistan,Asia,PAK,770880.0,orange
369,Jiange,12086,Chondrite,H5,222.0,1964.0,31.91667,104.91667,China,Asia,CHN,9424700.7,orange
370,Jianshi,12087,Achondrite,"Iron, IIIAB",600000.0,1890.0,30.80833,109.5,China,Asia,CHN,9424700.7,gray
371,Jilin,12171,Chondrite,H5,4000000.0,1976.0,44.05,126.16667,China,Asia,CHN,9424700.7,orange
372,Jodiya,47362,Chondrite,L5,100.0,2006.0,22.68,70.31333,India,Asia,IND,2973190.0,orange
373,Jodzie,12173,Achondrite,Howardite,30.0,1877.0,55.7,24.4,Lithuania,Europe,LTU,62675.0,gray
374,Johnstown,12198,Achondrite,Diogenite,40300.0,1924.0,40.35,-104.9,United States,North America,USA,9147420.0,gray
375,Jolomba,12199,Chondrite,LL6,483.0,1974.0,-11.85,15.83333,Angola,Africa,AGO,1246700.0,orange
376,Juancheng,12203,Chondrite,H5,100000.0,1997.0,35.5,115.41667,China,Asia,CHN,9424700.7,orange
377,Judesegeri,12207,Chondrite,H6,680.0,1876.0,12.85,76.8,India,Asia,IND,2973190.0,orange
378,Jumapalo,12209,Chondrite,L6,32490.0,1984.0,-7.71667,111.2,Indonesia,Asia,IDN,1877519.0,orange
379,Junan,12210,Chondrite,L6,950.0,1976.0,35.2,118.8,China,Asia,CHN,9424700.7,orange
380,Juromenha,12213,Achondrite,"Iron, IIIAB",25250.0,1968.0,38.74028,-7.27,Portugal,Europe,PRT,91590.0,gray
381,Kaba,12218,Chondrite,CV3,3000.0,1857.0,47.35,21.3,Hungary,Europe,HUN,90530.0,orange
382,Kabo,12220,Chondrite,H4,13400.0,1971.0,11.85,8.21667,Nigeria,Africa,NGA,910770.0,orange
383,Kaee,12222,Chondrite,H5,230.0,1838.0,27.25,79.96667,India,Asia,IND,2973190.0,orange
384,Kagarlyk,12227,Chondrite,L6,1900.0,1908.0,49.86667,30.83333,Ukraine,Europe,UKR,579320.0,orange
385,Kaidun,12228,Chondrite,CR2,2000.0,1980.0,15.0,48.3,Yemen,Asia,,,orange
386,Kainsaz,12229,Chondrite,CO3.2,200000.0,1937.0,55.43333,53.25,Russian Federation,Europe,RUS,16376870.0,orange
387,Kakangari,12230,Chondrite,K3,350.0,1890.0,12.38333,78.51667,India,Asia,IND,2973190.0,orange
388,Kakowa,12231,Chondrite,L6,577.0,1858.0,45.13333,21.66667,Romania,Europe,ROU,230050.0,orange
389,Kalaba,12232,Chondrite,H4,950.0,1951.0,-6.83333,29.5,"Congo, The Democratic Republic of the",Africa,,,orange
390,Kalumbi,12236,Chondrite,L6,4500.0,1879.0,17.83333,73.98333,India,Asia,IND,2973190.0,orange
391,Kamalpur,12238,Chondrite,L6,2770.0,1942.0,26.03333,81.46667,India,Asia,IND,2973190.0,orange
392,Kamiomi,12240,Chondrite,H5,448.0,1913.0,36.04167,139.95667,Japan,Asia,JPN,364500.0,orange
393,Kamsagar,12241,Chondrite,L6,1293.0,1902.0,14.18333,75.8,India,Asia,IND,2973190.0,orange
394,Kandahar (Afghanistan),12243,Chondrite,L6,299.0,1959.0,31.6,65.78333,Afghanistan,Asia,AFG,652230.0,orange
395,Kangean,12245,Chondrite,H5,1630.0,1908.0,-7.0,115.5,Indonesia,Asia,IDN,1877519.0,orange
396,Kangra Valley,12246,Chondrite,H5,400.0,1897.0,32.08333,76.3,India,Asia,IND,2973190.0,orange
397,Kapoeta,12251,Achondrite,Howardite,11355.0,1942.0,4.7,33.63333,South Sudan,Africa,SSD,,gray
398,Kaprada,47357,Chondrite,L5/6,1600.0,2004.0,20.33916,73.22329,India,Asia,IND,2973190.0,orange
399,Kaptal-Aryk,12253,Chondrite,L6,3500.0,1937.0,42.45,73.36667,Kazakhstan,Asia,KAZ,2699700.0,orange
400,Karakol,12256,Chondrite,LL6,3000.0,1840.0,47.21667,81.01667,Kazakhstan,Asia,KAZ,2699700.0,orange
401,Karatu,12258,Chondrite,LL6,2220.0,1963.0,-3.5,35.58333,"Tanzania, United Republic of",Africa,,,orange
402,Karewar,12260,Chondrite,L6,180.0,1949.0,12.9,7.15,Nigeria,Africa,NGA,910770.0,orange
403,Karkh,12262,Chondrite,L6,22000.0,1905.0,27.8,67.16667,Pakistan,Asia,PAK,770880.0,orange
404,Karloowala,12263,Chondrite,L6,2950.0,1955.0,31.58333,71.6,Pakistan,Asia,PAK,770880.0,orange
405,Karoonda,12264,Chondrite,CK4,41730.0,1930.0,-35.08333,139.91667,Australia,Oceania,AUS,7682300.0,orange
406,Kasamatsu,12266,Chondrite,H,710.0,1938.0,35.36667,136.76667,Japan,Asia,JPN,364500.0,orange
407,Kasauli,30740,Chondrite,H4,16820.0,2003.0,29.58333,77.58333,India,Asia,IND,2973190.0,orange
408,Katagum,35465,Chondrite,L6,1500.0,1999.0,11.33333,10.08333,Nigeria,Africa,NGA,910770.0,orange
409,Kavarpura,47351,Achondrite,"Iron, IIE-an",6800.0,2006.0,25.14333,75.81333,India,Asia,IND,2973190.0,gray
410,Kayakent,12268,Achondrite,"Iron, IIIAB",85000.0,1961.0,39.26333,31.78,Turkey,Asia,,,gray
411,Kediri,12270,Chondrite,L4,3300.0,1940.0,-7.75,112.01667,Indonesia,Asia,IDN,1877519.0,orange
412,Kemer,53654,Chondrite,L4,5760.0,2008.0,36.54194,29.41822,Turkey,Asia,,,orange
413,Kendleton,12275,Chondrite,L4,6937.0,1939.0,29.45,-96.0,United States,North America,USA,9147420.0,orange
414,Kendrapara,12276,Chondrite,H4-5,6669.2,2003.0,20.4625,86.70278,India,Asia,IND,2973190.0,orange
415,Kerilis,12282,Chondrite,H5,5000.0,1874.0,48.4,-3.3,France,Europe,FRA,547557.0,orange
416,Kernouve,12284,Chondrite,H6,80000.0,1869.0,48.11667,-3.08333,France,Europe,FRA,547557.0,orange
417,Kesen,12286,Chondrite,H4,135000.0,1850.0,38.98333,141.61667,Japan,Asia,JPN,364500.0,orange
418,Khairpur,12288,Chondrite,EL6,13600.0,1873.0,29.53333,72.3,Pakistan,Asia,PAK,770880.0,orange
419,Khanpur,12289,Chondrite,LL5,3698.0,1932.0,25.55,83.11667,India,Asia,IND,2973190.0,orange
420,Kheragur,12294,Chondrite,L6,450.0,1860.0,26.95,77.88333,India,Asia,IND,2973190.0,orange
421,Khetri,12296,Chondrite,H6,100.0,1867.0,28.01667,75.81667,India,Asia,IND,2973190.0,orange
422,Khmelevka,12297,Chondrite,L5,6109.0,1929.0,56.75,75.33333,Russian Federation,Europe,RUS,16376870.0,orange
423,Khohar,12298,Chondrite,L3.6,9700.0,1910.0,25.1,81.53333,India,Asia,IND,2973190.0,orange
424,Khor Temiki,12299,Achondrite,Aubrite,3200.0,1932.0,16.0,36.0,Sudan,Africa,SDN,2376000.0,gray
425,Kidairat,12300,Chondrite,H6,100000.0,1983.0,14.0,28.0,Sudan,Africa,SDN,2376000.0,orange
426,Kiel,12301,Chondrite,L6,737.6,1962.0,54.4,10.15,Germany,Europe,DEU,348570.0,orange
427,Kiffa,12303,Chondrite,H5,1500.0,1970.0,16.58333,-11.33333,Mauritania,Africa,MRT,1030700.0,orange
428,Kijima (1906),12305,Unclassified,Stone-uncl,331.0,1906.0,36.85,138.38333,Japan,Asia,JPN,364500.0,darkred
429,Kilabo,12307,Chondrite,LL6,19000.0,2002.0,12.76667,9.8,Nigeria,Africa,NGA,910770.0,orange
430,Kilbourn,12308,Chondrite,H5,772.0,1911.0,43.58333,-89.6,United States,North America,USA,9147420.0,orange
431,Killeter,12309,Chondrite,H6,140.0,1844.0,54.66667,-7.66667,United Kingdom,Europe,GBR,241930.0,orange
432,Kingai,12316,Chondrite,H6,67.4,1967.0,11.63333,24.68333,Sudan,Africa,SDN,2376000.0,orange
433,Kirbyville,12321,Achondrite,Eucrite-mmict,97.7,1906.0,30.75,-95.95,United States,North America,USA,9147420.0,gray
434,Kisvarsány,12325,Chondrite,L6,1550.0,1914.0,48.16667,22.30833,Hungary,Europe,HUN,90530.0,orange
435,Kitchener,12326,Chondrite,L6,202.6,1998.0,43.38333,-80.38333,Canada,North America,CAN,8965590.0,orange
436,Klein-Wenden,12332,Chondrite,H6,3250.0,1843.0,51.6,10.8,Germany,Europe,DEU,348570.0,orange
437,Knyahinya,12335,Chondrite,L/LL5,500000.0,1866.0,48.9,22.4,Slovakia,Europe,,,orange
438,Kobe,12336,Chondrite,CK4,136.0,1999.0,34.73333,135.16667,Japan,Asia,JPN,364500.0,orange
439,Kokubunji,12342,Chondrite,L6,11510.0,1986.0,34.3,133.95,Japan,Asia,JPN,364500.0,orange
440,Komagome,12343,Unclassified,Iron,238.0,1926.0,35.73333,139.75,Japan,Asia,JPN,364500.0,darkred
441,Konovo,12344,Chondrite,LL5,90.0,1931.0,42.51667,26.16667,Bulgaria,Europe,BGR,108560.0,orange
442,Košice,53810,Chondrite,H5,4300.0,2010.0,48.76367,21.17633,Slovakia,Europe,,,orange
443,Krähenberg,12353,Chondrite,LL5,16500.0,1869.0,49.32694,7.46472,Germany,Europe,DEU,348570.0,orange
444,Krasnyi Klyuch,12357,Chondrite,H5,4000.0,1946.0,54.33333,56.08333,Russian Federation,Europe,RUS,16376870.0,orange
445,Krutikha,12363,Chondrite,OC,845.2,1906.0,56.8,77.0,Russian Federation,Europe,RUS,16376870.0,orange
446,Krymka,12364,Chondrite,LL3.2,50000.0,1946.0,47.83333,30.76667,Ukraine,Europe,UKR,579320.0,orange
447,Kukschin,12368,Chondrite,L6,2250.0,1938.0,51.15,31.7,Ukraine,Europe,UKR,579320.0,orange
448,Kulak,12369,Chondrite,L5,453.6,1961.0,30.73111,66.80222,Pakistan,Asia,PAK,770880.0,orange
449,Kulp,12373,Chondrite,H6,3719.0,1906.0,41.11667,45.0,Armenia,Asia,ARM,28470.0,orange
450,Kunashak,12377,Chondrite,L6,200000.0,1949.0,55.78333,61.36667,Russian Federation,Europe,RUS,16376870.0,orange
451,Kunya-Urgench,12379,Chondrite,H5,1100000.0,1998.0,42.25,59.2,Turkmenistan,Asia,TKM,469930.0,orange
452,Kushiike,12381,Chondrite,OC,4460.0,1920.0,37.05,138.38333,Japan,Asia,JPN,364500.0,orange
453,Kusiali,12382,Chondrite,L6,5.0,1860.0,29.68333,78.38333,India,Asia,IND,2973190.0,orange
454,Kutais,12383,Chondrite,H5,23.0,1977.0,44.51667,39.3,Russian Federation,Europe,RUS,16376870.0,orange
