,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
100,2021-02-02 10:03:21,48.7N,80.1E,20.0,12.8,4.0,-6.7,-10.1,31000000000.0,0.11,2021,2,48.7,80.1
101,2021-01-31 02:59:39,5.3N,115.2E,39.4,15.2,14.0,-5.8,1.7,267000000000.0,0.72,2021,1,5.3,115.2
102,2021-01-29 16:12:47,38.8N,51.3W,30.0,14.3,-14.2,1.9,-0.6,77000000000.0,0.24,2021,1,38.8,-51.3
103,2021-01-25 03:01:37,38.5N,47.6W,19.1,,,,,75000000000.0,0.23,2021,1,38.5,-47.6
104,2021-01-24 07:33:43,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,61000000000.0,0.2,2021,1,-45.0,95.5
105,2020-12-29 20:32:22,14.9N,158.2W,33.0,14.4,-3.0,10.2,-9.7,49000000000.0,0.16,2020,12,14.9,-158.2
106,2020-12-28 17:27:53,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,57000000000.0,0.18,2020,12,36.8,-54.7
107,2020-12-22 23:23:33,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4898000000000.0,9.5,2020,12,31.9,96.2
108,2020-11-28 16:34:11,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,26000000000.0,0.092,2020,11,33.3,135.1
109,2020-11-25 12:20:50,30.5S,81.0W,,,,,,21000000000.0,0.076,2020,11,-30.5,-81.0
110,2020-11-07 21:27:04,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,111000000000.0,0.33,2020,11,59.8,16.8
111,2020-10-26 15:09:10,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,114000000000.0,0.34,2020,10,-5.9,160.4
112,2020-10-23 20:51:39,30.0N,71.9W,48.0,,,,,80000000000.0,0.25,2020,10,30.0,-71.9
113,2020-10-22 17:39:33,22.0N,133.5W,40.0,17.6,-9.4,14.1,-4.9,44000000000.0,0.15,2020,10,22.0,-133.5
114,2020-10-21 18:57:33,12.9N,150.2W,,,,,,22000000000.0,0.079,2020,10,12.9,-150.2
115,2020-10-21 06:38:49,29.7S,93.9W,39.0,,,,,27000000000.0,0.095,2020,10,-29.7,-93.9
116,2020-10-19 07:05:47,48.6N,93.9E,40.7,,,,,21000000000.0,0.076,2020,10,48.6,93.9
117,2020-10-18 10:52:43,11.4S,135.8W,36.0,16.4,15.6,1.5,4.9,36000000000.0,0.12,2020,10,-11.4,-135.8
118,2020-09-18 08:05:27,2.4N,169.7W,46.0,11.7,10.2,2.9,-4.9,41000000000.0,0.14,2020,9,2.4,-169.7
119,2020-08-30 16:08:22,26.0N,133.5E,27.8,23.4,7.8,-21.7,3.7,64000000000.0,0.2,2020,8,26.0,133.5
120,2020-08-02 16:36:25,35.1S,34.2W,38.0,11.1,0.5,6.0,9.3,74000000000.0,0.23,2020,8,-35.1,-34.2
121,2020-07-22 02:55:40,20.0S,103.8W,36.0,,,,,22000000000.0,0.079,2020,7,-20.0,-103.8
122,2020-07-20 21:25:09,51.8S,11.2W,31.6,14.1,-2.9,-1.0,-13.8,50000000000.0,0.16,2020,7,-51.8,-11.2
