,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,range label,mass range
122,Blackwell,5068,Chondrite,L5,2381.0,1906.0,36.83333,-97.33333,United States,North America,3rd_quantile,"(682.0, 2700.0]"
123,Blanket,5071,Chondrite,L6,5100.0,1909.0,31.83333,-98.83333,United States,North America,4th_quantile,"(2700.0, 10322.0]"
124,Blansko,5072,Chondrite,H6,470.0,1833.0,49.36667,16.63333,Czechia,Europe,2nd_quantile,"(22.0, 682.0]"
125,Bloomington,5076,Chondrite,LL6,67.8,1938.0,40.48,-89.00417,United States,North America,2nd_quantile,"(22.0, 682.0]"
126,Bo Xian,5090,Chondrite,LL3.9,7500.0,1977.0,33.83333,115.83333,China,Asia,4th_quantile,"(2700.0, 10322.0]"
128,Bogou,5097,Primitive Achondrite,"Iron, IAB-MG",8800.0,1962.0,12.5,0.7,Burkina Faso,Africa,4th_quantile,"(2700.0, 10322.0]"
129,Boguslavka,5098,Achondrite,"Iron, IIAB",256000.0,1916.0,44.55,131.63333,Russian Federation,Europe,6th_quantile,"(224800.0, 23000000.0]"
131,Bori,5111,Chondrite,L6,8600.0,1894.0,21.95,78.03333,India,Asia,4th_quantile,"(2700.0, 10322.0]"
132,Boriskino,5112,Chondrite,CM2,1342.0,1930.0,54.23333,52.48333,Russian Federation,Europe,3rd_quantile,"(682.0, 2700.0]"
133,Borkut,5113,Chondrite,L5,7000.0,1852.0,48.15,24.28333,Ukraine,Europe,4th_quantile,"(2700.0, 10322.0]"
136,Boumdeid (2003),57168,Chondrite,L6,190.0,2003.0,17.71067,-11.3715,Mauritania,Africa,2nd_quantile,"(22.0, 682.0]"
137,Boumdeid (2011),57167,Chondrite,L6,3599.0,2011.0,17.17493,-11.34133,Mauritania,Africa,4th_quantile,"(2700.0, 10322.0]"
138,Bovedy,5121,Chondrite,L3,5460.0,1969.0,54.56667,-6.33333,United Kingdom,Europe,4th_quantile,"(2700.0, 10322.0]"
139,Bradford Woods,5128,Chondrite,L,762.0,1886.0,40.5,-80.08333,United States,North America,3rd_quantile,"(682.0, 2700.0]"
140,Braunau,5133,Achondrite,"Iron, IIAB",39000.0,1847.0,50.6,16.3,Czechia,Europe,5th_quantile,"(10322.0, 224800.0]"
141,Breitscheid,5134,Chondrite,H5,1500.0,1956.0,50.66694,8.18361,Germany,Europe,3rd_quantile,"(682.0, 2700.0]"
